Age,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Survived
-0.5816283106401147,-0.5471161646999124,0.0,1.0,0.0,0.0,1.0,0
0.6586519408900796,0.8395634058940716,1.0,0.0,1.0,0.0,0.0,1
-0.2715582477575661,-0.5324986342875966,1.0,0.0,0.0,0.0,1.0,1
0.4260993937281682,0.4457931233070179,1.0,0.0,0.0,0.0,1.0,1
0.4260993937281682,-0.5297916842112419,0.0,1.0,0.0,0.0,1.0,0
-0.11652321631629182,-0.5209497024818366,0.0,1.0,0.0,1.0,0.0,0
1.898932192420274,0.4189943175511056,0.0,1.0,0.0,0.0,1.0,0
-2.1319786250528576,-0.24772748625507465,0.0,1.0,0.0,0.0,1.0,0
-0.19404073203692898,-0.46302097084784455,1.0,0.0,0.0,0.0,1.0,1
-1.201768436405212,-0.05291803428009662,1.0,0.0,1.0,0.0,0.0,1
-1.9769435936115833,-0.3424707389274917,1.0,0.0,0.0,0.0,1.0,1
2.2090022553028223,-0.12916307291073562,1.0,0.0,0.0,0.0,1.0,1
-0.736663342081389,-0.5297916842112419,0.0,1.0,0.0,0.0,1.0,0
0.7361694566107168,-0.02684036002452529,0.0,1.0,0.0,0.0,1.0,0
-1.201768436405212,-0.534031850810844,1.0,0.0,0.0,0.0,1.0,0
1.9764497081409111,-0.3576296593550784,1.0,0.0,0.0,0.0,1.0,1
-2.1319786250528576,-0.07339990133782734,0.0,1.0,0.0,1.0,0.0,0
-0.11652321631629182,-0.4225964611875929,0.0,1.0,0.0,0.0,1.0,1
0.1160293308456196,-0.31431845813340203,1.0,0.0,0.0,0.0,1.0,0
-0.11652321631629182,-0.5476575547151833,1.0,0.0,1.0,0.0,0.0,1
0.4260993937281682,-0.14107365324669663,0.0,1.0,0.0,0.0,1.0,0
0.34858187800753104,-0.4225964611875929,0.0,1.0,0.0,0.0,1.0,1
-1.1242509206845748,-0.5302421207039473,1.0,0.0,0.0,1.0,0.0,1
-0.11652321631629182,0.06465455255626602,0.0,1.0,0.0,0.0,1.0,1
-1.6668735307290348,-0.24772748625507465,1.0,0.0,0.0,0.0,1.0,0
0.6586519408900796,-0.02440410495580598,1.0,0.0,0.0,0.0,1.0,1
-0.11652321631629182,-0.5476575547151833,0.0,1.0,1.0,0.0,0.0,0
-0.8141808578020261,4.977768941140177,0.0,1.0,0.0,0.0,1.0,0
-0.11652321631629182,-0.533490460795573,1.0,0.0,0.0,1.0,0.0,1
-0.11652321631629182,-0.5331309778254331,0.0,1.0,0.0,0.0,1.0,0
0.8136869723313539,-0.1038086957155663,0.0,1.0,1.0,0.0,0.0,0
-0.11652321631629182,2.468876656852009,1.0,0.0,1.0,0.0,0.0,1
-0.11652321631629182,-0.5362883643944933,1.0,0.0,0.0,1.0,0.0,1
2.8291423810679195,-0.4767354627146883,0.0,1.0,0.0,0.0,1.0,0
-0.11652321631629182,1.0753387575445723,0.0,1.0,1.0,0.0,0.0,0
